	negative_arousal	negative_valence	positive_arousal	positive_valence	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	csf	white_matter	drift_1	drift_2	drift_3	drift_4	drift_5	drift_6	drift_7	drift_8	drift_9	drift_10	drift_11	drift_12	constant
0.0	0.0	0.0	0.0	0.0	0.02754018549237	0.0432759604339594	0.5156713518583373	0.0050079668416628	-0.0020710105694796	-0.0019958313913915	1594.0680071097806	853.4213145625638	0.08032090174560083	0.08031780833812863	0.08031265274725741	0.08030543510535848	0.08029615559774696	0.0802848144626769	0.08027141199133532	0.08025594852783459	0.08023842446920372	0.08021884026537807	0.08019719641918784	0.08017349348634517	1.0
2.0	0.0	0.0	0.0	0.0	0.0425286783163585	0.1115621543871441	0.5194993779480725	0.0067756997669336	-0.002652022411508	-0.0010300271402424	1545.7530763665718	852.6187379144914	0.08031265274725741	0.0802848144626769	0.08023842446920372	0.08017349348634517	0.08009003651794348	0.0799880728487089	0.07986762603976345	0.07972872392319656	0.07957139859563382	0.07939568641082032	0.07920162797122021	0.07898926811863456	1.0
4.0	0.0	0.0	0.0	0.0	-0.0550409836009606	0.0543027002429425	0.9020415693117556	0.0108261994016854	-0.0031947084190082	-2.020920548780405e-05	1625.6077142596598	855.0429761697252	0.08029615559774696	0.08021884026537807	0.08009003651794348	0.07990982702805212	0.07967832746305821	0.07939568641082032	0.07906208528433026	0.07867773820527328	0.07824289186659421	0.07775782537415772	0.07722285006760443	0.07663830932051766	1.0
6.0	0.0	0.0	0.0	0.0	-0.0277740821104544	0.0442763351041435	0.5808953574205518	0.0069438425240415	-0.0021937397090405	-0.0002043868182986	1569.25624743272	854.6376581625262	0.08027141199133532	0.08011991284787363	0.07986762603976345	0.07951486893377797	0.07906208528433026	0.07850984467524781	0.07785884180325876	0.07710989560409101	0.07626394822228363	0.07532206382600655	0.07428542726837921	0.07315534259697255	1.0
8.0	0.0	0.0	0.0	0.0	-0.0250901172281317	0.0449487135993535	0.5454495881607571	0.0050928997240846	-0.0019096968640961	-0.0006621423014086	1571.4036029623242	852.6368304309856	0.08023842446920372	0.0799880728487089	0.07957139859563382	0.07898926811863456	0.07824289186659421	0.07733382181168452	0.07626394822228363	0.07503549573245985	0.07365101871619455	0.07211339597596281	0.07042582475671583	0.06859181409771226	1.0
10.0	0.0	0.0	0.0	0.0	-0.0136432297774291	-0.0151767002975304	0.3562571629745505	0.0017377703837822	-0.0017542206497151	-0.0014059778089334	1569.6428984690135	852.7787581704268	0.08019719641918784	0.07982337442663898	0.07920162797122021	0.07833388814338105	0.07722285006760443	0.07587196453158433	0.07428542726837921	0.07246816592482967	0.07042582475671583	0.06816474709818933	0.06569195565992891	0.06301513071721138	1.0
12.0	0.0	0.0	0.0	0.0	0.0195033146989089	0.0500090658461545	0.3396972579555637	-0.0015118893289732	-0.0030850846769032	-0.0012213370599712	1592.3813896292395	854.569503142335	0.08014773207542983	0.07962588523838078	0.07875865592383963	0.0775498057955959	0.07600457832002938	0.0741296760222323	0.07193323141336898	0.06942477171537748	0.06661517753602234	0.06351663567354772	0.060142586255644157	0.056507664442016874	1.0
14.0	0.0	0.0	0.0	0.0	-0.0129137767348765	-0.0010460896243671	0.435995217644809	0.0004207854618717	-0.0035878276499261	-0.0015142497826354	1577.4733611992629	852.9516012006707	0.08009003651794348	0.07939568641082032	0.07824289186659421	0.07663830932051766	0.07459120390997251	0.07211339597596281	0.06921919281041977	0.06592530604342141	0.06225075514734767	0.05821675761515454	0.053846606446896844	0.04916553565191384	1.0
16.0	0.0	0.0	0.0	0.0	-0.0166136069228599	-0.009849548305624	0.4302485446377559	0.0018191676353786	-0.003442251286656	-0.0013618768701178	1577.3210628520842	852.0583701227331	0.08002411567209254	0.07913287250768641	0.07765481248997472	0.07560089630446151	0.07298635494927365	0.06983057678833965	0.06615696377525283	0.061992757914003264	0.057368839243474655	0.0523194968437698	0.046882174562487784	0.041097193346542306	1.0
18.0	0.0	0.0	0.0	0.0	0.0567662632461463	0.1248328073641005	0.4183292395962468	-0.0032480547110634	-0.0043408732773473	0.000214951807721	1599.3218936410783	854.9863717019792	0.07994997630798213	0.07883755149070468	0.0769949613212834	0.07443927121428882	0.07119415106219802	0.0672896560132722	0.06276194811146674	0.0576529613764463	0.05201001342561452	0.045885367235176756	0.03933574709904926	0.032421813268630986	1.0
