	negative_arousal	negative_valence	positive_arousal	positive_valence	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	drift_1	drift_2	drift_3	drift_4	drift_5	drift_6	drift_7	drift_8	drift_9	drift_10	drift_11	drift_12	constant
0.0	0.0	0.0	0.0	0.0	0.0290958991463412	-0.0396184732793756	0.2096473670965437	0.0025002114697615	-0.0005862474398683	-0.0009967688410574	0.08032090174560083	0.08031780833812863	0.08031265274725741	0.08030543510535848	0.08029615559774696	0.0802848144626769	0.08027141199133532	0.08025594852783459	0.08023842446920372	0.08021884026537807	0.08019719641918784	0.08017349348634517	1.0
2.0	0.0	0.0	0.0	0.0	0.0349011289953722	-0.0461335966312077	0.1758767623665065	0.0022672000529927	-0.0006440674376622	-0.0009407715770521	0.08031265274725741	0.0802848144626769	0.08023842446920372	0.08017349348634517	0.08009003651794348	0.0799880728487089	0.07986762603976345	0.07972872392319656	0.07957139859563382	0.07939568641082032	0.07920162797122021	0.07898926811863456	1.0
4.0	0.0	0.0	0.0	0.0	0.0149045191494394	-0.0314697528446004	0.1445508364604535	0.0023972051185857	-0.0005862232511781	-0.0010192978276352	0.08029615559774696	0.08021884026537807	0.08009003651794348	0.07990982702805212	0.07967832746305821	0.07939568641082032	0.07906208528433026	0.07867773820527328	0.07824289186659421	0.07775782537415772	0.07722285006760443	0.07663830932051766	1.0
6.0	0.0	0.0	0.0	0.0	0.0164185493635073	-0.0726367371599963	0.1735976293081549	0.0027261707282201	-0.0005870561355785	-0.0011402003658413	0.08027141199133532	0.08011991284787363	0.07986762603976345	0.07951486893377797	0.07906208528433026	0.07850984467524781	0.07785884180325876	0.07710989560409101	0.07626394822228363	0.07532206382600655	0.07428542726837921	0.07315534259697255	1.0
8.0	0.0	0.0	0.0	0.0	0.0272793281014003	-0.0518964906332684	0.1520687145271324	0.0018792263747427	-0.0005853847591554	-0.0009409502098778	0.08023842446920372	0.0799880728487089	0.07957139859563382	0.07898926811863456	0.07824289186659421	0.07733382181168452	0.07626394822228363	0.07503549573245985	0.07365101871619455	0.07211339597596281	0.07042582475671583	0.06859181409771226	1.0
10.0	0.0	0.0	0.0	0.0	0.0267854687466808	-0.0612160695573038	0.1234850116305068	0.0020420841225142	-0.0005869417344264	-0.0014104018138489	0.08019719641918784	0.07982337442663898	0.07920162797122021	0.07833388814338105	0.07722285006760443	0.07587196453158433	0.07428542726837921	0.07246816592482967	0.07042582475671583	0.06816474709818933	0.06569195565992891	0.06301513071721138	1.0
12.0	0.0	0.0	0.0	0.0	0.0317165338721991	-0.003408730960217	0.0878857484812414	0.0019001848669444	-0.000586031093438	-0.0010839449084602	0.08014773207542983	0.07962588523838078	0.07875865592383963	0.0775498057955959	0.07600457832002938	0.0741296760222323	0.07193323141336898	0.06942477171537748	0.06661517753602234	0.06351663567354772	0.060142586255644157	0.056507664442016874	1.0
14.0	0.0	0.0	0.0	0.0	0.0319610477166492	-0.0356441688243762	0.1383262385825219	0.0020201864411575	-0.0005860863538846	-0.0010749078342555	0.08009003651794348	0.07939568641082032	0.07824289186659421	0.07663830932051766	0.07459120390997251	0.07211339597596281	0.06921919281041977	0.06592530604342141	0.06225075514734767	0.05821675761515454	0.053846606446896844	0.04916553565191384	1.0
16.0	0.0	0.0	0.0	0.0	0.0253606182477739	-0.0532918789772622	0.0946982949431856	0.0021875893556731	-0.0005870423899878	-0.0014098598955456	0.08002411567209254	0.07913287250768641	0.07765481248997472	0.07560089630446151	0.07298635494927365	0.06983057678833965	0.06615696377525283	0.061992757914003264	0.057368839243474655	0.0523194968437698	0.046882174562487784	0.041097193346542306	1.0
18.0	0.0	0.0	0.0	0.0	0.0224627528416192	-0.0365729220280286	0.1068778545581778	0.0018980344010071	-0.0006643386863893	-0.0014098709556961	0.07994997630798213	0.07883755149070468	0.0769949613212834	0.07443927121428882	0.07119415106219802	0.0672896560132722	0.06276194811146674	0.0576529613764463	0.05201001342561452	0.045885367235176756	0.03933574709904926	0.032421813268630986	1.0
20.0	0.0	0.0	0.0	0.0	0.0239374996679799	-0.0363725706446445	0.1345731229394999	0.0017990683121757	-0.0006462077347073	-0.0013419244893559	0.07986762603976345	0.07850984467524781	0.07626394822228363	0.07315534259697255	0.06921919281041977	0.06450002517687661	0.05905122362542362	0.05293442581299188	0.046218825869982244	0.03898039166592807	0.03130100544960912	0.02326753758482435	1.0
22.0	0.0	0.0	0.0	0.0	0.0251527992602262	-0.0255699397867914	0.132442736075049	0.0018930584460104	-0.0006368354593877	-0.0014098963766167	0.07977707332485186	0.07814988668050024	0.07546244882554035	0.07175121994385963	0.06706654988344614	0.06147199506534961	0.05504345622046875	0.04786814865239818	0.040043418996669675	0.03167542452928908	0.022877692942250085	0.013769582125397068	1.0
24.0	0.0	0.0	0.0	0.0	0.0388587057531566	-0.0367732918322616	0.1094978604340397	0.0018850481567241	-0.0005869602123964	-0.0015479522486104	0.07967832746305821	0.07775782537415772	0.07459120390997251	0.07022921022478221	0.06474174808479725	0.05821675761515455	0.050758806002611755	0.042487411738839735	0.033535129259396716	0.024045424673281697	0.014170376625873272	0.004068239140410041	1.0
26.0	0.0	0.0	0.0	0.0	0.033004529322028	-0.0220055505777025	-0.1496676376798902	0.0008007682017899	-0.0006347926029015	-0.0007302460936297	0.07957139859563382	0.07733382181168452	0.07365101871619455	0.06859181409771226	0.06225075514734767	0.05474634454637801	0.046218825869982244	0.03682756269381934	0.02674806038310769	0.016168686221467977	0.0052871491742642815	-0.005693194926834851	1.0
28.0	0.0	0.0	0.0	0.0	0.0042418958538519	-0.1121498833934282	-0.1839280102874738	0.001763567831402	-0.000979880357997	0.0001363642681911	0.07945629770422895	0.0768780501701532	0.07264276220227969	0.06684172180018709	0.059599965414241764	0.05107358289215269	0.04144635309618108	0.03092578270738971	0.019738633597109333	0.00812603516929374	-0.003661712976967886	-0.015370536040629641	1.0
30.0	0.0	0.0	0.0	0.0	-0.0012371980541558	-0.1044050816569921	-0.2257265822560796	0.0002521327892018	-0.0005009331204159	0.0005300630478353	0.07933303660976493	0.07639069767669417	0.0715673662406329	0.0649818087292562	0.056796183424706485	0.047212047588514626	0.03646539445289089	0.024820842284131256	0.01256511860268357	4.9182999007686516e-18	-0.012565118602683561	-0.024820842284131246	1.0
32.0	0.0	0.0	0.0	0.0	-0.014592014203842	-0.0007331170462521	-0.0176859372620228	0.002082003276104	-1.4196047320558236e-05	0.0002920153017733	0.07920162797122021	0.07587196453158433	0.07042582475671583	0.06301513071721138	0.053846606446896844	0.04317601129992801	0.03130100544960912	0.018552846548461982	0.0052871491742642815	-0.008126035169293713	-0.02131254077530669	-0.03390452522356265	1.0
34.0	0.0	0.0	0.0	0.0	0.004751340972362	-0.0237757449665139	0.0079654744590484	0.001817003763902	-0.0004199831562889	1.888159475163715e-05	0.07906208528433026	0.07532206382600654	0.06921919281041977	0.060944919010862346	0.05075880600261175	0.03898039166592805	0.02597916429795862	0.012162971782442302	-0.002034772578991757	-0.016168686221467964	-0.029795388946726467	-0.04248741173883973	1.0
36.0	0.0	0.0	0.0	0.0	-0.0007479804649364	-0.0236584240555686	0.0068674755249986	0.0018029971886651	0.0001400989927569	0.0001098737458569	0.07891442288020152	0.07474122145451352	0.06794858562093567	0.0587745749626067	0.0475407084313061	0.03464069616386432	0.02052664123456816	0.0056931949268348775	-0.009339779170141867	-0.02404542467328167	-0.03790835699197279	-0.05044272586576787	1.0
38.0	0.0	0.0	0.0	0.0	-0.0126270896534776	-0.0244281256700986	0.0482403272976981	0.001175994414693	-7.308112453485727e-05	-0.0001379569333141	0.07875865592383963	0.0741296760222323	0.06661517753602234	0.056507664442016874	0.04420057454329115	0.03017296479153745	0.014970863859862375	-0.0008139821775950756	-0.016567143728797903	-0.03167542452928907	-0.045550730480044904	-0.057652961376446314	1.0
40.0	0.0	0.0	0.0	0.0	-0.0069891092055485	0.0063536783012949	0.0025189106416618	0.0008710061013119	8.593989321581397e-05	-0.0001380376343002	0.07859480041259193	0.0734876787468473	0.06522020094662566	0.054147911977125776	0.040746978414352875	0.02559371078158152	0.009339779170141895	-0.007315811996999577	-0.023656784826514073	-0.038980391665928045	-0.05262763694342487	-0.0640116174383976	1.0
42.0	0.0	0.0	0.0	0.0	-0.0069660939110036	-0.052206808109247	0.0169881372576696	0.0008169951093194	-7.305633971310677e-05	-0.0001379700987469	0.07842287317450455	0.0728154933554021	0.06376494514785189	0.05169919463503701	0.03718878537622243	0.02091985956671722	0.003661712976967931	-0.013769582125397042	-0.030549765936585333	-0.04588536723517673	-0.059051223625423595	-0.06942477171537745	1.0
44.0	0.0	0.0	0.0	0.0	-0.0132572435060041	0.001301070791797	0.0445405777212499	0.0014840237649575	-0.0002048306775919	0.0002286521114124	0.07824289186659421	0.07211339597596281	0.06225075514734767	0.049165535651913846	0.0335351292593967	0.016168686221467977	-0.0020347725789917393	-0.020132895874856137	-0.03718878537622242	-0.05231949684376977	-0.06474174808479723	-0.07381246767393106	1.0
46.0	0.0	0.0	0.0	0.0	-0.0301387831096491	-0.0438160555567748	-0.0148460309940148	0.0007790154503046	0.0001319097077288	-0.0002320514666195	0.07805487497303472	0.0713816750241868	0.06067903042218844	0.0465510978228127	0.029795388946726474	0.011357751611561037	-0.007721022702913299	-0.026363950791636184	-0.043518652658190944	-0.058216757615154525	-0.06962856811886166	-0.077109895604091	1.0
48.0	0.0	0.0	0.0	0.01982111579816221	-0.0301950217188817	-0.0423222148140922	0.0275973879533921	-0.0011419978347112	-1.0669582481526165e-05	0.0002969944067842	0.07785884180325876	0.07062063108484408	0.059051223625423616	0.04386017666222183	0.02597916429795862	0.006504837487012115	-0.013368434086841841	-0.03242181326863098	-0.04948674729198072	-0.0635166356735477	-0.07365101871619453	-0.07926834990961486	1.0
50.0	0.0	0.0	0.0	0.3647083113255543	-0.0255076523108641	-0.0421470787637332	0.0769899640877795	-0.0015349126044597	-0.0003928489253717	0.0004541990015438	0.07765481248997472	0.06983057678833965	0.057368839243474655	0.041097193346542306	0.022096251507033815	0.0016278807587975876	-0.01894859879172399	-0.03826668745010678	-0.055043456220468724	-0.06816474709818932	-0.07675916515242866	-0.08025594852783459	1.0
