onset	duration	trial_type
46.002	9.999	positive_valence
60.002	10.0	positive_valence
74.001	9.999	positive_valence
88.001	9.999	positive_valence
116.002	9.999	positive_arousal
130.002	9.998	positive_arousal
144.002	9.998	positive_arousal
158.002	10.0	positive_arousal
186.001	10.001	negative_valence
200.001	10.001	negative_valence
214.002	9.998	negative_valence
228.0	10.002	negative_valence
256.0	10.002	negative_arousal
270.0	10.001	negative_arousal
284.002	9.998	negative_arousal
298.002	9.998	negative_arousal
326.0	10.002	positive_arousal
340.001	10.0	positive_arousal
354.002	10.0	positive_arousal
368.001	9.999	positive_arousal
396.002	9.999	negative_valence
410.001	10.001	negative_valence
424.002	10.0	negative_valence
438.002	9.998	negative_valence
466.001	10.001	positive_valence
480.0	10.002	positive_valence
494.0	10.002	positive_valence
508.002	10.0	positive_valence
536.0	10.001	negative_arousal
550.002	10.0	negative_arousal
564.002	9.999	negative_arousal
578.001	10.001	negative_arousal
